Participant_ID,Card_ID,Card_Label,Assigned_Category,Category_Correct,Confidence_Rating,Task_Success,Path_Length,Time_on_Task_s,Design_Version
P0001,Card_1,Home,Resources,1.0,3.0,1.0,3.0,42.392291098104536,Proposed
P0002,Card_2,Courses,Main_Nav,1.0,2.0,1.0,4.0,200.59556189648455,Proposed
P0003,Card_3,Courses,Main_Nav,1.0,4.0,0.0,2.0,52.19370217926834,Current
P0004,Card_4,Faculty,Academics,1.0,4.0,1.0,3.0,61.99675027197757,Current
P0005,Card_5,Faculty,,1.0,5.0,1.0,2.0,49.79663239771369,Proposed
P0006,Card_6,,Resources,0.0,4.0,0.0,3.0,18.947114159854955,Current
P0001,Card_7,Contact,Main_Nav,1.0,4.0,1.0,0.0,22.216186780596992,Current
P0002,Card_8,Courses,Resources,1.0,2.0,1.0,2.0,44.941652964403936,Proposed
P0003,Card_9,About,Academics,1.0,5.0,1.0,1.0,88.21952887267562,Proposed
P0004,Card_10,Admissions,Main_Nav,1.0,3.0,1.0,0.0,74.07836645919485,Current
P0005,Card_11,About,Main_Nav,1.0,4.0,1.0,2.0,50.29935508881006,Proposed
P0006,Card_12,Home,Administration,0.0,1.0,1.0,3.0,20.071029244302313,Current
P0001,Card_13,Courses,Academics,1.0,5.0,1.0,1.0,97.42611967902833,Current
P0002,Card_14,Admissions,Administration,0.0,5.0,1.0,2.0,60.539754520683886,Current
P0003,Card_15,Research,Academics,1.0,2.0,1.0,2.0,32.61711700357467,Current
P0004,Card_16,Research,,1.0,4.0,1.0,1.0,35.24676898804594,Proposed
P0005,Card_17,Home,Resources,1.0,5.0,1.0,3.0,159.0907428126691,Current
P0006,Card_18,Courses,Resources,1.0,4.0,1.0,2.0,36.59582575122466,Proposed
P0001,Card_19,Faculty,Main_Nav,1.0,4.0,1.0,2.0,22.284956243456303,Proposed
P0002,Card_20,Faculty,Resources,1.0,5.0,1.0,2.0,421.2484198508339,Current
P0003,Card_21,Faculty,Main_Nav,1.0,4.0,1.0,2.0,26.02914135191553,Current
P0004,,Courses,Resources,1.0,2.0,1.0,,99.47851169350446,Current
P0005,Card_23,Home,Resources,1.0,,1.0,1.0,72.67817365717953,Proposed
P0006,Card_24,Contact,Academics,1.0,4.0,1.0,0.0,96.48480156033011,Proposed
P0001,Card_25,Faculty,Main_Nav,0.0,4.0,1.0,2.0,32.56065248926175,Current
P0002,Card_26,Admissions,Administration,1.0,3.0,1.0,4.0,210.73665298027203,Proposed
P0003,Card_27,Admissions,Resources,1.0,4.0,1.0,2.0,51.24590635034082,Proposed
P0004,Card_28,Admissions,Administration,1.0,5.0,0.0,2.0,25.583352215077653,Current
P0005,Card_29,Home,Resources,0.0,5.0,,1.0,71.19734590578526,Current
P0006,Card_30,Contact,,1.0,3.0,1.0,4.0,18.466133621149766,Proposed
P0001,Card_31,Campus,Administration,0.0,5.0,1.0,4.0,78.024772457246,Current
P0002,Card_32,Courses,Main_Nav,1.0,3.0,1.0,1.0,35.83604803132477,Proposed
P0003,Card_33,Research,Academics,1.0,5.0,1.0,2.0,98.56644547147239,Proposed
P0004,Card_34,About,Academics,1.0,4.0,1.0,3.0,91.2695611885805,Proposed
P0005,Card_35,Research,Main_Nav,1.0,5.0,1.0,1.0,84.21767184157137,Current
P0006,Card_36,About,Resources,1.0,4.0,0.0,3.0,77.50413989954872,Current
P0001,Card_37,Courses,Main_Nav,0.0,4.0,1.0,2.0,24.50632179224127,Current
P0002,Card_38,Home,Main_Nav,1.0,5.0,1.0,4.0,58.44237232976744,Current
P0003,Card_39,Contact,Resources,,4.0,0.0,3.0,22.819150931657042,Proposed
P0004,Card_40,Research,Academics,1.0,5.0,1.0,4.0,31.422409682723906,Current
P0005,Card_41,Research,Resources,1.0,5.0,1.0,1.0,109.84105419832669,Current
P0006,Card_42,Contact,Resources,1.0,3.0,1.0,3.0,87.78658259184917,Proposed
P0001,Card_43,Courses,Administration,1.0,,1.0,0.0,137.0640872918729,Proposed
P0002,Card_44,Research,Administration,1.0,5.0,1.0,6.0,49.84906036378123,Proposed
P0003,Card_45,Faculty,Academics,1.0,3.0,1.0,5.0,69.30773340706726,Proposed
P0004,Card_46,About,Main_Nav,1.0,4.0,1.0,2.0,55.59471438470977,Current
P0005,Card_47,Campus,Main_Nav,1.0,5.0,1.0,1.0,20.964876526875965,Current
P0006,Card_48,Home,Academics,1.0,5.0,1.0,4.0,20.355631399262748,Proposed
P0001,Card_49,Faculty,Administration,1.0,3.0,1.0,5.0,142.55925412412455,Current
P0002,Card_50,About,Academics,1.0,3.0,1.0,2.0,35.085398973073644,Current
